Stimulus,RMS1,RMS2,RMS3,RMS4,RMS5,RMS6,RMS7,RMS8
0,3.867351840266186,12.902593656971574,8.619001072466547,8.707350269625584,5.902194289914339,4.562669034452172,4.695333198629661,3.5104240375027236
0,3.873976291575919,12.605350919148256,8.608880328638593,8.516800892113038,5.744116276231862,4.494155749129741,4.689595685377119,3.40587727318528
0,3.865030599938575,12.463690855584863,8.60336845183029,8.408786613280915,5.660932241791439,4.494726254463569,4.647304153747191,3.388517564075961
0,3.8782761171718603,12.247762747036386,8.59695831720105,8.135235170666627,5.480501567913054,4.509249752822894,4.6865875180244485,3.33704921088938
0,3.847743261332311,11.928848892388396,8.548804084902828,8.03757202783055,5.399667606104125,4.488161064800343,4.500427330137234,3.2726528093056877
0,3.874638113788243,12.005981415260885,8.542803238954248,7.993907936833154,5.362978506533329,4.510955325506776,4.500712194354384,3.27539388901627
0,3.853070703497906,11.797544290319545,8.48754743954115,7.899529359560866,5.344779384283945,4.519189852515263,4.509818348721103,3.286335345030997
0,3.8547340192254977,11.78362618865034,8.430104783848577,7.825664549482404,5.276216593209716,4.515500369808819,4.527409402454774,3.2925712810849883
0,3.821330148333706,11.398717876619688,7.966436001381205,7.705642288409389,5.142083783936784,4.464101827714633,4.528258849174614,3.2894547907689535
0,3.7900003382720913,11.220859695571114,7.428462242082898,7.284511141051441,4.897409048120791,4.313366226641114,4.49301452114051,3.262451492909855
0,3.7485039750922033,11.006990785580143,6.193255222934887,6.938373414643063,4.715495460277471,4.192178308989131,4.47614761104875,3.228081910440443
0,3.7495298850621737,10.959248523741406,6.0098210221227655,6.822286254884776,4.602396254349606,4.157477045590918,4.46984196359191,3.2256980957814707
0,3.6296499795929322,10.935357848833814,5.998717811717382,6.740805703954204,4.522876325570959,4.145433075640636,4.479297106031544,3.19012900631355
0,3.4190267021103518,10.624475854341577,5.892629033214031,6.630349799334757,4.535048695071164,4.139552806269952,4.484160156338342,3.115716981321042
0,3.4186517060355075,10.335524995039048,5.716148963625684,6.604194471348085,4.509818348721103,4.118438837901865,4.518054947963837,3.1317235362803513
0,3.4171513102177777,10.081208718738504,5.649143343270775,6.456560964412827,4.41791225783726,4.057282152074029,4.5342005203756,3.1185960023127435
0,3.3904087946546793,9.87758405009376,5.612029204741525,6.444636012478387,4.366245820393369,4.0579140782755205,4.516919758260501,3.1083015396737914
0,3.353910843883294,9.709102258533827,5.620247279896098,6.404125273042409,4.348002783477513,4.06359699192975,4.528258849174614,3.1153054754113927
0,3.329741654720301,9.526212151150002,5.459407312623616,6.256483816297277,4.346528234385197,4.068641807021866,4.553950102763703,3.1313141338946187
0,3.3320510354080866,9.420109422849691,5.460346565501554,6.22834710756455,4.356545326228935,4.076511832185541,4.565197218196126,3.149277491417471
0,3.2949067143714794,8.894538802704753,5.460111767429355,6.2215506353072705,4.370648018608236,4.079027033308499,4.524576761620348,3.129266318533418
0,3.2898445135107712,8.66410218468519,5.239152407471837,6.05953370466315,4.391133257150286,4.082168855412839,4.5471884804704406,3.1181848763466418
0,3.236411434653971,8.427975393341466,5.186273796998757,6.062283567376411,4.4164610498823835,4.09878030638384,4.546342570597905,3.0571479921904086
0,3.150498536048069,8.087026647662292,5.187015346529081,6.046189730434389,4.46007933699701,4.107529046981272,4.537874799100091,3.0713731999438516
0,3.1626830543960778,7.997756095562215,5.168196630378571,5.980095188334252,4.460366778065655,4.131182235954578,4.52684301608833,3.0842860620928976
0,3.12680716976968,7.740502865795259,5.10077922654458,6.003417829955336,4.4844460538907605,4.163024048785838,4.5029904593417776,3.074710743118148
0,3.0751276813183313,7.555096768373465,4.993072123529684,5.982667272405151,4.4416444171280896,4.029697449990699,4.371527926281201,2.991012177533526
0,2.6297118882844592,7.100198624885118,4.645924599540482,5.6305030061766335,3.680509998105405,3.2348265122109043,4.033831289456076,2.5252570318530108
0,2.6174953775092042,6.942252645566264,4.558171023220067,5.501281901893646,3.535171268472844,3.0751276813183313,3.9658801202513834,2.4200021190921004
0,2.5439722623870864,6.649079365615695,4.452887279979713,5.473479182291128,3.556503612920694,3.062176199522666,3.9170894479944858,2.37939876051461
0,2.52728698156333,6.413527370592047,4.335305271243514,5.394916885840615,3.56298635906339,3.0713731999438516,3.876953601833433,2.3799375126466167
0,2.5535294829926714,6.265084361066661,4.315446317946375,5.404651368058481,3.5791418538885003,3.0971450873841366,3.837400295205209,2.401922307076307
0,2.5439722623870864,6.111569524376046,4.389965247219489,5.441059474507535,3.5769920037472542,3.110363157954224,3.839070400300252,2.3890777106850893
